work_status,esi,raw_n,pop_n
Non-worker,Not on ESI,11961,29500502.68
Non-worker,On ESI,6234,15107687.25
Worker,Not on ESI,19776,47116251.52
Worker,On ESI,46054,108644073.86
Child,Not on ESI,15840,33887581.91
Child,On ESI,19058,38881762.85
