coverage,raw_n,pop_n
ESI,75388,177952702.92
Medicaid,22738,53275265.26
Medicare,15069,36651876.01
Other,11438,28248869.93
Direct Purchase,8115,19838797.7
Marketplace,5606,13652179.72
Other Public,3490,7661503.46
IHS Only,281,408446.57
